

1D_2_4b	-1.0095457	4	0.38469698	-0.2168556	1	1	0.4839758	0.47500155	0.85964817	-1.0095457	0.079452443	0.48261363	3.7308262	0.89328007	-0.60232757	-1.5017548	-1.2143281	0.033717701	0.36832654	0.24591632	0.072716048	0.33079637	1.2259821	2.081589	-4.282607	R0:N6:S0:1	c788fd8	2022-03-16@16:32
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0095457	4	0.38469698	-0.2168556	1	1	0.4839758	0.47500155	0.85964817	-1.0095457	0.079452443	0.48261363	3.7308262	0.89328007	-0.60232757	-1.5017548	-1.2143281	0.033717701	0.36832654	0.24591632	0.072716048	0.33079637	1.2259821	2.081589	-4.282607	R0:N6:S0:1	c788fd8	2022-03-16@16:32
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0095457	4	0.38469698	-0.2168556	1	1	0.4839758	0.47500155	0.85964817	-1.0095457	0.079452443	0.48261363	3.7308262	0.89328007	-0.60232757	-1.5017548	-1.2143281	0.033717701	0.36832654	0.24591632	0.072716048	0.33079637	1.2259821	2.081589	-4.282607	R0:N6:S0:1	c788fd8	2022-03-16@18:37
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0095451	4	0.38469891	-0.21685701	1	1	0.48397681	0.47500266	0.85964658	-1.0095451	0.079452509	0.48261311	3.7308267	0.89328011	-0.60232753	-1.5017551	-1.2143283	0.033717725	0.36832616	0.24591594	0.072716107	0.3307963	1.2259815	2.081588	-4.2826142	R0:N6:S0:1	c788fd8	2022-03-16@18:37
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
1D_2_4b	-1.0095451	4	0.38469875	-0.21685715	1	1	0.4839769	0.47500266	0.85964657	-1.0095451	0.079452503	0.48261326	3.7308266	0.89328007	-0.6023275	-1.5017553	-1.2143285	0.033717723	0.36832624	0.24591599	0.072716123	0.33079626	1.2259813	2.081588	-4.282615	R0:N6:S0:1	c788fd8	2022-03-16@18:38
model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	time
